OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Jet ski,"[0.6490297834383856, [(1.0, 0.05555555555555555), (0.2, 0.7777777777777778), (0.10869565217391304, 0.8333333333333334)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Tiger,"[0.832731026776861, [(1.0, 0.047619047619047616), (0.22093023255813954, 0.9047619047619048), (0.1111111111111111, 0.9047619047619048)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Camel,"[0.8947189847189847, [(1.0, 0.03333333333333333), (0.23387096774193547, 0.9666666666666667), (0.1214574898785425, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Drum,"[0.6794958721241338, [(0.0, 0.0), (0.15902140672782875, 0.9541284403669725), (0.08039816232771822, 0.963302752293578)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Dog,"[0.9732247062022017, [(1.0, 0.0005181347150259067), (0.28431080678773446, 0.9896373056994818), (0.14276144398957946, 0.9937823834196892)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Lobster,"[0.704458981408008, [(1.0, 0.03333333333333333), (0.090625, 0.9666666666666667), (0.04538341158059468, 0.9666666666666667)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Lavender,"[0.2879687186201869, [(1.0, 0.011494252873563218), (0.05355832721936904, 0.8390804597701149), (0.028623853211009173, 0.896551724137931)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sandal,"[0.6833437415210359, [(1.0, 0.0055248618784530384), (0.30876494023904383, 0.856353591160221), (0.16666666666666666, 0.9226519337016574)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Microphone,"[0.7198625682228584, [(1.0, 0.00909090909090909), (0.0933456561922366, 0.9181818181818182), (0.04764107308048104, 0.9363636363636364)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Kite,"[0.5667532857114079, [(1.0, 0.03333333333333333), (0.05090909090909091, 0.9333333333333333), (0.025477707006369428, 0.9333333333333333)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Candle,"[0.7893972410289118, [(1.0, 0.013333333333333334), (0.11716171617161716, 0.9466666666666667), (0.058629232039636665, 0.9466666666666667)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Microwave oven,"[0.7819844702839698, [(1.0, 0.05), (0.34545454545454546, 0.95), (0.1743119266055046, 0.95)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Tennis racket,"[0.7919050296652733, [(1.0, 0.047619047619047616), (0.2857142857142857, 0.8571428571428571), (0.1532258064516129, 0.9047619047619048)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sea turtle,"[0.6737091180351139, [(1.0, 0.027777777777777776), (0.1572052401746725, 1.0), (0.07894736842105263, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Dress,"[0.7656649808307998, [(1.0, 0.001763668430335097), (0.391132224861441, 0.8712522045855379), (0.20673267326732672, 0.9206349206349206)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sink,"[0.45168198212436794, [(1.0, 0.018518518518518517), (0.17490494296577946, 0.8518518518518519), (0.09142857142857143, 0.8888888888888888)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Fox,"[0.9316616976999027, [(1.0, 0.02631578947368421), (0.391304347826087, 0.9473684210526315), (0.2032967032967033, 0.9736842105263158)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Giraffe,"[0.9366866866866868, [(1.0, 0.04), (0.17777777777777778, 0.96), (0.08955223880597014, 0.96)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Cheetah,"[0.794023953841839, [(1.0, 0.034482758620689655), (0.26126126126126126, 1.0), (0.1318181818181818, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Animal,"[0.034055730257892325, [(0.0, 0.0), (0.06645440997154857, 0.20903473258043895), (0.07041848019374397, 0.44300021308331555)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Ski,"[0.25679451616245846, [(0.0, 0.0), (0.1286549707602339, 0.5641025641025641), (0.06881405563689605, 0.6025641025641025)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Door,"[0.45431748704498015, [(1.0, 0.006060606060606061), (0.0962566844919786, 0.7636363636363637), (0.05273213603362629, 0.8363636363636363)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Apple,"[0.6151101888160366, [(1.0, 0.00980392156862745), (0.10010649627263046, 0.9215686274509803), (0.05063965884861407, 0.9313725490196079)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Otter,"[0.6069493279180427, [(1.0, 0.023255813953488372), (0.14, 0.9767441860465116), (0.07178631051752922, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Pen,"[0.7047092954705847, [(1.0, 0.02040816326530612), (0.12, 0.9795918367346939), (0.060075093867334166, 0.9795918367346939)]]"
