OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Jet ski,"[0.642292965319281, [(1.0, 0.05555555555555555), (0.20588235294117646, 0.7777777777777778), (0.1111111111111111, 0.8333333333333334)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Tiger,"[0.7966451541114945, [(1.0, 0.05), (0.22784810126582278, 0.9), (0.11538461538461539, 0.9)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Camel,"[0.8876771093510225, [(1.0, 0.03333333333333333), (0.23577235772357724, 0.9666666666666667), (0.12244897959183673, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Drum,"[0.680649286033684, [(1.0, 0.009900990099009901), (0.16271186440677965, 0.9504950495049505), (0.08396946564885496, 0.9801980198019802)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Dog,"[0.9738469494423553, [(1.0, 0.0005387931034482759), (0.26663773148148145, 0.9929956896551724), (0.13362755028215886, 0.9951508620689655)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Lobster,"[0.752474102962835, [(1.0, 0.034482758620689655), (0.112, 0.9655172413793104), (0.05823293172690763, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Lavender,"[0.3274042520167454, [(1.0, 0.013888888888888888), (0.04303967720242098, 0.8888888888888888), (0.02186343760511268, 0.9027777777777778)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sandal,"[0.7279566656843157, [(1.0, 0.005780346820809248), (0.3073770491803279, 0.8670520231213873), (0.16632443531827515, 0.9364161849710982)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Microphone,"[0.7432923574392678, [(1.0, 0.009615384615384616), (0.10730593607305935, 0.9038461538461539), (0.05542857142857143, 0.9326923076923077)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Kite,"[0.5271504524700847, [(1.0, 0.03333333333333333), (0.04827586206896552, 0.9333333333333333), (0.024179620034542316, 0.9333333333333333)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Candle,"[0.8268237281414561, [(1.0, 0.0136986301369863), (0.11147540983606558, 0.9315068493150684), (0.05660377358490566, 0.9452054794520548)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Microwave oven,"[0.8014607740280935, [(1.0, 0.05263157894736842), (0.30357142857142855, 0.8947368421052632), (0.16363636363636364, 0.9473684210526315)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Tennis racket,"[0.8170724191063173, [(1.0, 0.05), (0.2857142857142857, 0.9), (0.14516129032258066, 0.9)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sea turtle,"[0.5895039630495751, [(0.0, 0.0), (0.14285714285714285, 1.0), (0.07158351409978309, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Dress,"[0.7614718884187999, [(1.0, 0.0018050541516245488), (0.38777152051488334, 0.8700361010830325), (0.20450885668276972, 0.9169675090252708)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sink,"[0.5749929545588686, [(1.0, 0.018867924528301886), (0.16304347826086957, 0.8490566037735849), (0.08711433756805807, 0.9056603773584906)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Fox,"[0.9372222901634668, [(1.0, 0.02702702702702703), (0.3684210526315789, 0.9459459459459459), (0.18518518518518517, 0.9459459459459459)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Giraffe,"[0.9390626566416042, [(1.0, 0.04), (0.21008403361344538, 1.0), (0.10548523206751055, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Cheetah,"[0.8286297324306718, [(1.0, 0.038461538461538464), (0.2549019607843137, 1.0), (0.12807881773399016, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Animal,"[0.035996580258107314, [(0.0, 0.0), (0.07217140273381796, 0.22704891125943757), (0.07198260869565218, 0.45289418973629497)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Ski,"[0.36258252399406465, [(0.0, 0.0), (0.11494252873563218, 0.5128205128205128), (0.0618705035971223, 0.5512820512820513)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Door,"[0.43881330036687144, [(1.0, 0.006535947712418301), (0.08374733853797019, 0.7712418300653595), (0.044744318181818184, 0.8235294117647058)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Apple,"[0.49950800907681353, [(1.0, 0.01), (0.0875, 0.91), (0.04475457170356112, 0.93)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Otter,"[0.6330976222130477, [(1.0, 0.023255813953488372), (0.105, 0.9767441860465116), (0.052565707133917394, 0.9767441860465116)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Pen,"[0.6914495491020256, [(1.0, 0.02127659574468085), (0.11764705882352941, 0.9361702127659575), (0.06166219839142091, 0.9787234042553191)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Submarine sandwich,"[0.6565570022087815, [(1.0, 0.037037037037037035), (0.34285714285714286, 0.8888888888888888), (0.18840579710144928, 0.9629629629629629)]]"
