OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Jet ski,"[0.6530851549941659, [(1.0, 0.05555555555555555), (0.1794871794871795, 0.7777777777777778), (0.09740259740259741, 0.8333333333333334)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Tiger,"[0.8285323299973897, [(1.0, 0.047619047619047616), (0.2289156626506024, 0.9047619047619048), (0.12121212121212122, 0.9523809523809523)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Camel,"[0.8770132471663487, [(1.0, 0.03333333333333333), (0.224, 0.9333333333333333), (0.12096774193548387, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Drum,"[0.6966631999618526, [(1.0, 0.009174311926605505), (0.150997150997151, 0.9724770642201835), (0.07703281027104136, 0.9908256880733946)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Dog,"[0.9724797098943019, [(1.0, 0.0005181347150259067), (0.2688519977490152, 0.9901554404145078), (0.13492789307069997, 0.9937823834196892)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Lobster,"[0.7410259990954411, [(1.0, 0.03333333333333333), (0.11885245901639344, 0.9666666666666667), (0.061601642710472276, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Lavender,"[0.29376856185198813, [(1.0, 0.011494252873563218), (0.049432197728790914, 0.8505747126436781), (0.026737967914438502, 0.9195402298850575)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sandal,"[0.6782306020748998, [(1.0, 0.0055248618784530384), (0.2645051194539249, 0.856353591160221), (0.1443210930828352, 0.9337016574585635)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Microphone,"[0.7300095100903687, [(1.0, 0.00909090909090909), (0.10883620689655173, 0.9181818181818182), (0.05555555555555555, 0.9363636363636364)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Kite,"[0.4958891099097733, [(1.0, 0.03333333333333333), (0.05103969754253308, 0.9), (0.026515151515151516, 0.9333333333333333)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Candle,"[0.8339159631185192, [(1.0, 0.013333333333333334), (0.12280701754385964, 0.9333333333333333), (0.061511423550087874, 0.9333333333333333)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Microwave oven,"[0.7472594447594447, [(1.0, 0.05), (0.31666666666666665, 0.95), (0.15966386554621848, 0.95)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Tennis racket,"[0.8196524577572964, [(1.0, 0.047619047619047616), (0.2676056338028169, 0.9047619047619048), (0.1357142857142857, 0.9047619047619048)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sea turtle,"[0.6723865553984055, [(1.0, 0.027777777777777776), (0.15126050420168066, 1.0), (0.0759493670886076, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Dress,"[0.7755703851102576, [(1.0, 0.001763668430335097), (0.3968, 0.8747795414462081), (0.20968387354941978, 0.9241622574955908)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sink,"[0.5442493494823354, [(1.0, 0.018518518518518517), (0.15254237288135594, 0.8333333333333334), (0.07809847198641766, 0.8518518518518519)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Fox,"[0.9409085751725863, [(1.0, 0.02631578947368421), (0.32432432432432434, 0.9473684210526315), (0.16818181818181818, 0.9736842105263158)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Giraffe,"[0.931558817209633, [(1.0, 0.04), (0.22522522522522523, 1.0), (0.11363636363636363, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Cheetah,"[0.8135661244287566, [(1.0, 0.034482758620689655), (0.23577235772357724, 1.0), (0.11885245901639344, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Animal,"[0.030303601067901198, [(0.0, 0.0), (0.06037280638768418, 0.22395056467078628), (0.061106084758663276, 0.45333475388877054)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Ski,"[0.29828936953190704, [(0.0, 0.0), (0.11911357340720222, 0.5512820512820513), (0.0638002773925104, 0.5897435897435898)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Door,"[0.4345026138256201, [(1.0, 0.006060606060606061), (0.09097174362508614, 0.8), (0.04862068965517241, 0.8545454545454545)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Apple,"[0.5470006738133851, [(1.0, 0.00980392156862745), (0.11355311355311355, 0.9117647058823529), (0.05864386072083079, 0.9411764705882353)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Otter,"[0.6026680382612071, [(1.0, 0.023255813953488372), (0.11570247933884298, 0.9767441860465116), (0.05939226519337017, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Pen,"[0.6890945026057786, [(1.0, 0.02040816326530612), (0.12020460358056266, 0.9591836734693877), (0.06153846153846154, 0.9795918367346939)]]"
